"pathway_name","PN","PS","DN","DS","n_genes","set_length","dnds","pnps"
"2-Oxocarboxylic acid metabolism",86,587,36,202,19,26624,0.178217821782178,0.146507666098807
"ATP-dependent chromatin remodeling",123,447,42,194,17,36335,0.216494845360825,0.275167785234899
"Alanine, aspartate and glutamate metabolism",61,437,36,134,14,18255,0.26865671641791,0.139588100686499
"Amino acid biosynthesis",172,1191,69,476,42,52743,0.144957983193277,0.144416456759026
"Amino acid catabolism",56,445,29,166,10,13181,0.174698795180723,0.125842696629213
"Amino acid metabolism",230,1702,99,672,55,69049,0.147321428571429,0.135135135135135
"Amino sugar and nucleotide sugar metabolism",127,881,62,320,29,40599,0.19375,0.144154370034052
"Aminoacyl-tRNA biosynthesis",30,200,13,69,8,13203,0.188405797101449,0.15
"Arginine and proline metabolism",48,238,24,104,10,14218,0.230769230769231,0.201680672268908
"Ascorbate and aldarate metabolism",112,371,56,181,18,20653,0.30939226519337,0.30188679245283
"Basal transcription factors",30,232,25,121,13,18419,0.206611570247934,0.129310344827586
"Base excision repair",105,179,51,71,9,11756,0.71830985915493,0.58659217877095
"Biosynthesis of amino acids",190,1381,95,583,51,64728,0.16295025728988,0.137581462708182
"Biosynthesis of cofactors",380,1377,187,574,58,69096,0.325783972125436,0.27596223674655
"Biosynthesis of nucleotide sugars",101,683,41,247,25,34148,0.165991902834008,0.14787701317716
"Biosynthesis of secondary metabolites",1250,6928,652,2810,245,325248,0.23202846975089,0.180427251732102
"Biosynthesis of various nucleotide sugars",53,279,9,101,11,14581,0.0891089108910891,0.189964157706093
"Brassinosteroid signaling",9,87,9,44,9,17467,0.204545454545455,0.103448275862069
"Carbohydrate metabolism",237,1545,119,614,47,81767,0.193811074918567,0.153398058252427
"Carbon fixation by Calvin cycle",77,346,39,168,16,20876,0.232142857142857,0.222543352601156
"Carbon metabolism",222,1870,114,724,71,94501,0.157458563535912,0.118716577540107
"Cell cycle",58,306,23,80,10,16502,0.2875,0.189542483660131
"Cellular processes",58,306,23,80,10,16502,0.2875,0.189542483660131
"Circadian rhythm - plant",9,133,1,58,8,12314,0.0172413793103448,0.0676691729323308
"Citrate cycle",48,439,18,158,18,24389,0.113924050632911,0.109339407744875
"Cofactor biosyntheses",174,734,57,282,26,33131,0.202127659574468,0.237057220708447
"Cyanoamino acid metabolism",52,249,22,100,8,10506,0.22,0.208835341365462
"Cysteine and methionine metabolism",54,382,36,182,20,24327,0.197802197802198,0.141361256544503
"DNA replication",68,257,15,69,8,13790,0.217391304347826,0.264591439688716
"Efferocytosis",42,258,24,110,16,21993,0.218181818181818,0.162790697674419
"Endocytosis",83,752,51,287,32,50871,0.177700348432056,0.110372340425532
"Fatty acid biosynthesis",23,174,22,79,8,10893,0.278481012658228,0.132183908045977
"Fatty acid degradation",125,552,52,218,16,25815,0.238532110091743,0.226449275362319
"Fatty acid elongation",73,230,43,96,10,11118,0.447916666666667,0.317391304347826
"Fatty acid metabolism",106,518,56,179,18,25842,0.312849162011173,0.204633204633205
"Fructose and mannose metabolism",35,183,28,101,11,13688,0.277227722772277,0.191256830601093
"Galactose metabolism",77,278,39,146,11,16441,0.267123287671233,0.276978417266187
"Generation of precursor metabolites and energy",19,263,10,85,9,12394,0.117647058823529,0.0722433460076046
"Glutathione metabolism",39,307,28,136,13,15874,0.205882352941176,0.127035830618893
"Glycerolipid metabolism",55,249,35,117,11,14599,0.299145299145299,0.220883534136546
"Glycerophospholipid metabolism",53,397,41,152,13,16532,0.269736842105263,0.133501259445844
"Glycine, serine and threonine metabolism",98,660,31,239,21,26877,0.129707112970711,0.148484848484848
"Glycolysis / Gluconeogenesis",115,767,69,364,35,46122,0.18956043956044,0.14993481095176
"Glyoxylate and dicarboxylate metabolism",61,694,24,255,23,28077,0.0941176470588235,0.0878962536023055
"Gravitropism under normal or artificial gravity environments",61,220,40,131,14,27263,0.305343511450382,0.277272727272727
"Growth and developmental processes",126,483,63,218,32,55923,0.288990825688073,0.260869565217391
"Hormone signaling, transport, and metabolism",122,528,66,285,32,45665,0.231578947368421,0.231060606060606
"IgSF CAM signaling",11,319,6,117,12,12154,0.0512820512820513,0.0344827586206897
"Inositol phosphate metabolism",109,421,57,163,16,39393,0.349693251533742,0.258907363420428
"Jasmonic acid signaling",48,125,23,83,8,15785,0.27710843373494,0.384
"Lipoic acid metabolism",71,493,25,171,17,24158,0.146198830409357,0.144016227180527
"Lysine biosynthesis I",28,135,11,104,8,9633,0.105769230769231,0.207407407407407
