"pathway_name","PN","PS","DN","DS","n_genes","set_length","dnds","pnps"
"2-Oxocarboxylic acid metabolism",69,493,30,242,19,23057,0.12396694214876,0.139959432048682
"ATP-dependent chromatin remodeling",80,287,35,169,14,28582,0.207100591715976,0.278745644599303
"Alanine, aspartate and glutamate metabolism",76,543,44,227,15,18715,0.193832599118943,0.139963167587477
"Amino acid biosynthesis",148,1001,123,527,44,51447,0.233396584440228,0.147852147852148
"Amino acid catabolism",51,388,31,147,12,12479,0.210884353741497,0.131443298969072
"Amino acid metabolism",211,1495,160,706,58,66439,0.226628895184136,0.141137123745819
"Amino sugar and nucleotide sugar metabolism",198,853,72,360,27,35151,0.2,0.232121922626026
"Aminoacyl-tRNA biosynthesis",115,440,70,210,15,24761,0.333333333333333,0.261363636363636
"Arginine and proline metabolism",85,407,52,191,15,18533,0.272251308900524,0.208845208845209
"Arginine biosynthesis",31,236,20,107,9,9984,0.186915887850467,0.13135593220339
"Ascorbate and aldarate metabolism",44,283,39,139,14,16168,0.280575539568345,0.15547703180212
"Autophagy - other",63,233,28,116,10,22337,0.241379310344828,0.270386266094421
"Basal transcription factors",41,239,49,89,11,13374,0.550561797752809,0.171548117154812
"Base excision repair",66,254,39,122,11,15497,0.319672131147541,0.259842519685039
"Biosynthesis of amino acids",180,1098,125,570,48,55330,0.219298245614035,0.163934426229508
"Biosynthesis of cofactors",315,1546,180,626,63,71856,0.287539936102236,0.203751617076326
"Biosynthesis of nucleotide sugars",168,747,55,326,25,31583,0.168711656441718,0.224899598393574
"Biosynthesis of secondary metabolites",1270,6603,943,3294,259,312532,0.286278081360049,0.192336816598516
"Biosynthesis of various nucleotide sugars",27,264,21,114,10,12682,0.184210526315789,0.102272727272727
"Brassinosteroid signaling",7,110,9,59,8,16091,0.152542372881356,0.0636363636363636
"Butanoate metabolism",38,235,26,134,9,10711,0.194029850746269,0.161702127659574
"Cadherin signaling",11,206,12,43,10,11105,0.27906976744186,0.0533980582524272
"Carbohydrate metabolism",138,1198,103,533,36,53827,0.193245778611632,0.115191986644407
"Carbon fixation by Calvin cycle",19,281,35,195,15,18649,0.179487179487179,0.0676156583629893
"Carbon metabolism",209,1694,155,842,69,85244,0.184085510688836,0.123376623376623
"Cell cycle",29,282,33,132,12,18101,0.25,0.102836879432624
"Cellular processes",29,282,33,132,12,18101,0.25,0.102836879432624
"Circadian rhythm - plant",39,185,34,90,9,12830,0.377777777777778,0.210810810810811
"Citrate cycle",31,385,24,219,16,18744,0.10958904109589,0.0805194805194805
"Cofactor biosyntheses",182,869,100,379,33,40270,0.263852242744063,0.209436133486766
"Cornified envelope formation",12,162,17,93,9,13390,0.182795698924731,0.0740740740740741
"Cutin, suberine and wax biosynthesis",69,118,46,113,9,11843,0.407079646017699,0.584745762711864
"Cyanoamino acid metabolism",80,268,47,107,8,10204,0.439252336448598,0.298507462686567
"Cysteine and methionine metabolism",113,485,52,204,20,23148,0.254901960784314,0.232989690721649
"DNA replication",37,300,45,146,12,19264,0.308219178082192,0.123333333333333
"Efferocytosis",39,406,34,124,17,22538,0.274193548387097,0.0960591133004926
"Endocytosis",90,782,75,293,30,40812,0.255972696245734,0.115089514066496
"Fatty acid and lipid metabolism",68,273,22,87,10,11923,0.252873563218391,0.249084249084249
"Fatty acid biosynthesis",63,204,46,156,10,13417,0.294871794871795,0.308823529411765
"Fatty acid degradation",110,404,91,273,17,27516,0.333333333333333,0.272277227722772
"Fatty acid elongation",22,128,39,90,9,6548,0.433333333333333,0.171875
"Fatty acid metabolism",138,430,97,279,20,29332,0.347670250896057,0.32093023255814
"Fructose and mannose metabolism",48,305,44,170,14,15731,0.258823529411765,0.157377049180328
"Galactose metabolism",104,391,62,199,13,18249,0.311557788944724,0.265984654731458
"Glutathione metabolism",65,255,31,120,16,16446,0.258333333333333,0.254901960784314
"Glycerolipid metabolism",107,516,60,241,19,25412,0.24896265560166,0.207364341085271
"Glycerophospholipid metabolism",55,365,31,146,11,15138,0.212328767123288,0.150684931506849
"Glycine, serine and threonine metabolism",115,617,48,240,20,26359,0.2,0.186385737439222
"Glycolysis / Gluconeogenesis",114,962,102,486,36,43736,0.209876543209877,0.118503118503119
"Glyoxylate and dicarboxylate metabolism",69,690,33,291,23,26999,0.11340206185567,0.1
"Gravitropism under normal or artificial gravity environments",71,301,72,187,17,27676,0.385026737967914,0.235880398671096
"Growth and developmental processes",116,583,127,347,32,55685,0.365994236311239,0.198970840480274
"Hormone signaling, transport, and metabolism",78,537,87,369,33,46410,0.235772357723577,0.145251396648045
"IgSF CAM signaling",8,238,8,114,12,12392,0.0701754385964912,0.0336134453781513
"Inositol phosphate metabolism",136,482,92,215,13,35380,0.427906976744186,0.282157676348548
"Jasmonic acid signaling",28,156,20,112,9,16054,0.178571428571429,0.179487179487179
"Lipoic acid metabolism",25,326,11,143,11,15845,0.0769230769230769,0.0766871165644172
"Lysine degradation",53,361,44,189,13,19997,0.232804232804233,0.146814404432133
"Lysosome biogenesis",296,1115,177,445,45,99357,0.397752808988764,0.265470852017937
"MAPK signaling pathway - plant",60,436,29,150,12,15011,0.193333333333333,0.137614678899083
"Metabolic pathways",2270,11588,1497,5415,442,547537,0.276454293628809,0.195892302381774
"Metabolism and regulation",860,5221,592,2533,206,259391,0.233714962495065,0.164719402413331
"Mismatch repair",79,244,67,125,9,15362,0.536,0.323770491803279
"Mitosis",29,282,33,132,12,18101,0.25,0.102836879432624
"Motor proteins",79,529,72,262,16,32450,0.274809160305344,0.149338374291115
"N-Glycan biosynthesis",56,442,39,145,14,18069,0.268965517241379,0.126696832579186
"Nucleocytoplasmic transport",265,629,133,384,29,64829,0.346354166666667,0.421303656597774
"Nucleotide excision repair",33,577,51,223,17,24963,0.228699551569507,0.0571923743500867
"Nucleotide metabolism",31,316,37,124,18,18181,0.298387096774194,0.0981012658227848
"One carbon pool by folate",31,521,26,211,15,20078,0.123222748815166,0.0595009596928983
"Oxidative phosphorylation",42,329,31,110,22,18735,0.281818181818182,0.127659574468085
"Pentose and glucuronate interconversions",31,223,16,111,9,10314,0.144144144144144,0.139013452914798
"Pentose phosphate pathway",18,261,33,114,12,15213,0.289473684210526,0.0689655172413793
"Peroxisome",86,400,60,246,21,22567,0.24390243902439,0.215
"Phagosome",43,341,34,166,19,26220,0.204819277108434,0.126099706744868
"Phenylpropanoid biosynthesis",116,444,87,307,22,19012,0.283387622149837,0.261261261261261
"Phosphatidylinositol signaling system",86,475,59,201,12,30325,0.293532338308458,0.181052631578947
"Plant hormone signal transduction",103,789,86,428,29,38245,0.200934579439252,0.130544993662864
"Plant-pathogen interaction",80,701,60,280,24,28132,0.214285714285714,0.114122681883024
"Polycomb repressive complex",30,113,22,75,9,14698,0.293333333333333,0.265486725663717
"Porphyrin metabolism",123,627,58,203,20,24336,0.285714285714286,0.196172248803828
"Proteasome",61,461,49,197,24,27426,0.248730964467005,0.132321041214751
"Protein export",20,225,26,94,13,16623,0.276595744680851,0.0888888888888889
"Protein processing in endoplasmic reticulum",146,1050,143,459,46,71042,0.311546840958606,0.139047619047619
"Purine metabolism",89,501,76,241,21,24426,0.315352697095436,0.177644710578842
"Pyrimidine metabolism",10,103,14,39,9,8816,0.358974358974359,0.0970873786407767
"Pyruvate metabolism",72,792,76,419,27,34261,0.181384248210024,0.0909090909090909
"RNA degradation",138,863,80,388,31,46231,0.206185567010309,0.159907300115875
"RNA polymerase",33,341,36,128,10,22399,0.28125,0.0967741935483871
"Regulation of seed size",19,217,26,119,16,25797,0.218487394957983,0.0875576036866359
