"pathway_name","PN","PS","DN","DS","n_genes","set_length","dnds","pnps"
"2-Oxocarboxylic acid metabolism",4,46,7,76,10,13522,0.0921052631578947,0.0869565217391304
"Amino acid biosynthesis",36,60,32,143,17,21273,0.223776223776224,0.6
"Amino acid catabolism",13,48,23,102,8,11255,0.225490196078431,0.270833333333333
"Amino acid metabolism",66,194,65,326,29,38687,0.199386503067485,0.34020618556701
"Amino sugar and nucleotide sugar metabolism",20,52,27,119,12,15493,0.226890756302521,0.384615384615385
"Aminoacyl-tRNA biosynthesis",23,44,45,119,12,21672,0.378151260504202,0.522727272727273
"Ascorbate and aldarate metabolism",26,41,16,76,9,10162,0.210526315789474,0.634146341463415
"Biosynthesis of amino acids",46,206,45,270,29,37670,0.166666666666667,0.223300970873786
"Biosynthesis of cofactors",45,103,72,254,31,42055,0.283464566929134,0.436893203883495
"Biosynthesis of nucleotide sugars",15,40,12,90,9,10291,0.133333333333333,0.375
"Biosynthesis of secondary metabolites",222,582,293,1128,120,163871,0.259751773049645,0.381443298969072
"Carbohydrate metabolism",42,207,35,283,19,33908,0.123674911660777,0.202898550724638
"Carbon fixation by Calvin cycle",5,83,10,81,10,15101,0.123456790123457,0.0602409638554217
"Carbon metabolism",24,211,37,247,33,47191,0.149797570850202,0.113744075829384
"Cell cycle",5,27,19,80,8,12950,0.2375,0.185185185185185
"Cellular processes",5,27,19,80,8,12950,0.2375,0.185185185185185
"Cofactor biosyntheses",23,42,32,117,11,14485,0.273504273504274,0.547619047619048
"Efferocytosis",18,69,16,82,11,18066,0.195121951219512,0.260869565217391
"Endocytosis",15,59,30,108,16,23754,0.277777777777778,0.254237288135593
"Fatty acid and lipid metabolism",8,59,14,61,9,13559,0.229508196721311,0.135593220338983
"Fatty acid degradation",19,20,31,65,9,14672,0.476923076923077,0.95
"Fatty acid metabolism",17,28,35,86,11,16008,0.406976744186047,0.607142857142857
"Fructose and mannose metabolism",6,69,6,43,8,9338,0.13953488372093,0.0869565217391304
"Glycerolipid metabolism",36,83,37,101,12,17632,0.366336633663366,0.433734939759036
"Glycine, serine and threonine metabolism",13,33,20,76,9,11045,0.263157894736842,0.393939393939394
"Glycolysis / Gluconeogenesis",28,134,28,148,21,26295,0.189189189189189,0.208955223880597
"Growth and developmental processes",73,102,61,138,19,37401,0.442028985507246,0.715686274509804
"Hormone signaling, transport, and metabolism",32,76,38,137,21,26961,0.277372262773723,0.421052631578947
"Inositol phosphate metabolism",24,53,41,106,10,28375,0.386792452830189,0.452830188679245
"Lysosome biogenesis",50,121,66,206,26,58014,0.320388349514563,0.413223140495868
"MAPK signaling pathway - plant",30,48,25,127,11,18957,0.196850393700787,0.625
"Metabolic pathways",386,1024,531,1969,208,306651,0.269680040629761,0.376953125
"Metabolism and regulation",185,636,209,1067,104,148748,0.195876288659794,0.290880503144654
"Mitosis",5,27,19,80,8,12950,0.2375,0.185185185185185
"Motor proteins",61,75,33,170,12,26484,0.194117647058824,0.813333333333333
"Nucleocytoplasmic transport",59,42,55,109,12,25427,0.504587155963303,1.4047619047619
"Nucleotide excision repair",14,28,25,94,9,17240,0.265957446808511,0.5
"Nucleotide metabolism",3,15,7,28,8,7858,0.25,0.2
"Oxidative phosphorylation",7,22,7,56,11,7720,0.125,0.318181818181818
"Pentose phosphate pathway",11,93,15,83,10,12753,0.180722891566265,0.118279569892473
"Peroxisome",27,30,26,95,10,14008,0.273684210526316,0.9
"Phagosome",17,68,20,131,14,21732,0.152671755725191,0.25
"Phosphatidylinositol signaling system",28,49,39,96,8,23460,0.40625,0.571428571428571
"Plant hormone signal transduction",18,120,42,173,19,26997,0.242774566473988,0.15
"Plant-pathogen interaction",30,122,48,188,18,26738,0.25531914893617,0.245901639344262
"Proteasome",12,47,17,80,10,15586,0.2125,0.25531914893617
"Protein processing in endoplasmic reticulum",34,101,50,247,26,37539,0.202429149797571,0.336633663366337
"Pyrimidine metabolism",4,20,10,56,9,11198,0.178571428571429,0.2
"Pyruvate metabolism",21,81,20,104,15,22078,0.192307692307692,0.259259259259259
"RNA degradation",19,80,27,160,14,27614,0.16875,0.2375
"Regulation of seed size",9,35,11,34,8,10807,0.323529411764706,0.257142857142857
"Reproductive structure development",26,59,34,90,13,20143,0.377777777777778,0.440677966101695
"Ribosome",1,81,6,235,21,12250,0.025531914893617,0.0123456790123457
"Ribosome biogenesis in eukaryotes",67,73,71,174,15,30393,0.408045977011494,0.917808219178082
"Secondary metabolism",13,52,27,86,11,15069,0.313953488372093,0.25
"Seed development",12,38,13,36,9,12141,0.361111111111111,0.315789473684211
"Spliceosome",35,71,30,210,16,34846,0.142857142857143,0.492957746478873
"Starch and sucrose metabolism",31,53,28,165,12,21806,0.16969696969697,0.584905660377358
"Terpenoid backbone biosynthesis",13,36,30,67,9,10551,0.447761194029851,0.361111111111111
"Ubiquitin mediated proteolysis",16,49,25,90,9,15559,0.277777777777778,0.326530612244898
"alpha-Linolenic acid metabolism",18,16,39,71,8,12445,0.549295774647887,1.125
"mRNA surveillance pathway",54,56,43,145,17,29047,0.296551724137931,0.964285714285714
