"pathway_name","PN","PS","DN","DS","n_genes","set_length","dnds","pnps"
"2-Oxocarboxylic acid metabolism",7,55,11,81,12,14647,0.135802469135802,0.127272727272727
"Amino acid biosynthesis",13,54,19,81,17,22551,0.234567901234568,0.240740740740741
"Amino acid metabolism",15,91,34,193,26,34940,0.176165803108808,0.164835164835165
"Amino sugar and nucleotide sugar metabolism",21,29,32,61,13,16488,0.524590163934426,0.724137931034483
"Aminoacyl-tRNA biosynthesis",12,18,9,29,8,15413,0.310344827586207,0.666666666666667
"Biosynthesis of amino acids",21,73,16,143,27,35523,0.111888111888112,0.287671232876712
"Biosynthesis of cofactors",26,78,11,118,20,28776,0.0932203389830508,0.333333333333333
"Biosynthesis of nucleotide sugars",24,33,29,63,13,16713,0.46031746031746,0.727272727272727
"Biosynthesis of secondary metabolites",124,400,138,746,112,166770,0.184986595174263,0.31
"Carbohydrate metabolism",46,52,40,132,20,33930,0.303030303030303,0.884615384615385
"Carbon metabolism",38,117,29,188,38,49007,0.154255319148936,0.324786324786325
"Citrate cycle",17,48,14,95,14,17014,0.147368421052632,0.354166666666667
"Cofactor biosyntheses",8,29,10,63,10,15182,0.158730158730159,0.275862068965517
"Endocytosis",4,18,4,18,10,10701,0.222222222222222,0.222222222222222
"Fatty acid metabolism",11,28,21,52,11,14188,0.403846153846154,0.392857142857143
"Glycerolipid metabolism",6,22,15,54,9,12776,0.277777777777778,0.272727272727273
"Glycine, serine and threonine metabolism",4,16,2,37,8,11139,0.0540540540540541,0.25
"Glycolysis / Gluconeogenesis",10,43,12,78,17,22645,0.153846153846154,0.232558139534884
"Glyoxylate and dicarboxylate metabolism",14,36,6,74,10,14695,0.0810810810810811,0.388888888888889
"Growth and developmental processes",4,14,6,20,8,16291,0.3,0.285714285714286
"Hormone signaling, transport, and metabolism",20,74,13,94,12,18013,0.138297872340426,0.27027027027027
"Lipoic acid metabolism",5,36,6,47,9,12773,0.127659574468085,0.138888888888889
"Lysosome biogenesis",49,65,46,96,23,61023,0.479166666666667,0.753846153846154
"MAPK signaling pathway - plant",11,56,11,50,9,15785,0.22,0.196428571428571
"Metabolic pathways",244,582,260,1050,184,279781,0.247619047619048,0.419243986254296
"Metabolism and regulation",114,338,121,569,85,119625,0.212653778558875,0.337278106508876
"Nucleocytoplasmic transport",5,30,30,75,8,18323,0.4,0.166666666666667
"One carbon pool by folate",5,26,3,59,8,12295,0.0508474576271186,0.192307692307692
"Oxidative phosphorylation",5,21,4,22,10,8820,0.181818181818182,0.238095238095238
"Phagosome",28,17,12,32,8,14517,0.375,1.64705882352941
"Phosphatidylinositol signaling system",35,23,19,36,8,20809,0.527777777777778,1.52173913043478
"Plant hormone signal transduction",20,49,15,61,13,19505,0.245901639344262,0.408163265306122
"Plant-pathogen interaction",14,25,8,39,9,13276,0.205128205128205,0.56
"Protein processing in endoplasmic reticulum",14,41,18,43,19,32261,0.418604651162791,0.341463414634146
"Purine metabolism",6,15,6,26,9,13783,0.230769230769231,0.4
"Pyruvate metabolism",14,30,11,83,13,18230,0.132530120481928,0.466666666666667
"RNA degradation",4,47,10,121,10,16846,0.0826446280991736,0.0851063829787234
"Responses to stimuli: abiotic stimuli and stresses",14,28,11,36,9,19724,0.305555555555556,0.5
"Ribosome",1,19,3,24,12,7434,0.125,0.0526315789473684
"Secondary metabolism",11,41,12,74,11,11256,0.162162162162162,0.268292682926829
"Spliceosome",15,48,13,97,14,31451,0.134020618556701,0.3125
"Starch and sucrose metabolism",25,63,32,168,21,39178,0.19047619047619,0.396825396825397
"mRNA surveillance pathway",8,18,18,29,10,18768,0.620689655172414,0.444444444444444
