"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","4565.A0A060PT44 (pp) 4565.A0A3B6DLE6","false","pp","4565.A0A060PT44 (pp) 4565.A0A3B6DLE6","0.0","0.0","0.0","0.0","0.0",,"0.0","0.408","0.408"
"pp","4565.A0A060PT44 (pp) 4565.A0A1D5ZLT0","false","pp","4565.A0A060PT44 (pp) 4565.A0A1D5ZLT0","0.0","0.0","0.455","0.0","0.0",,"0.0","0.508","0.136"
"pp","4565.A0A060PT44 (pp) 4565.A0A3B5Z3B4","false","pp","4565.A0A060PT44 (pp) 4565.A0A3B5Z3B4","0.0","0.0","0.455","0.0","0.0",,"0.0","0.508","0.136"
"pp","4565.A0A060PT44 (pp) 4565.A0A3B6LHL0","false","pp","4565.A0A060PT44 (pp) 4565.A0A3B6LHL0","0.0","0.0","0.455","0.0","0.0",,"0.0","0.508","0.136"
"pp","4565.A0A060PT44 (pp) 4565.A0A3B6IJP3","false","pp","4565.A0A060PT44 (pp) 4565.A0A3B6IJP3","0.0","0.0","0.455","0.0","0.0",,"0.0","0.508","0.136"
"pp","4565.A0A060PT44 (pp) 4565.A0A3B6GWU6","false","pp","4565.A0A060PT44 (pp) 4565.A0A3B6GWU6","0.0","0.0","0.513","0.072","0.0",,"0.0","0.528","0.0"
"pp","4565.A0A060PT44 (pp) 4565.A0A3B6C2I7","false","pp","4565.A0A060PT44 (pp) 4565.A0A3B6C2I7","0.0","0.0","0.504","0.145","0.0",,"0.0","0.56","0.046"
"pp","4565.A0A060PT44 (pp) 4565.A0A3B6C0K9","false","pp","4565.A0A060PT44 (pp) 4565.A0A3B6C0K9","0.0","0.0","0.504","0.145","0.0",,"0.0","0.56","0.046"
"pp","4565.A0A060PT44 (pp) 4565.A0A3B5ZWU7","false","pp","4565.A0A060PT44 (pp) 4565.A0A3B5ZWU7","0.0","0.0","0.504","0.145","0.0",,"0.0","0.56","0.046"
"pp","4565.A0A060PT44 (pp) 4565.A0A1D6DB09","false","pp","4565.A0A060PT44 (pp) 4565.A0A1D6DB09","0.0","0.0","0.504","0.145","0.0",,"0.0","0.56","0.046"
