"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6KEK4","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6KEK4","0.0","0.0","0.0","0.0","0.0",,"0.0","0.403","0.403"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6RIT4","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6RIT4","0.0","0.0","0.0","0.0","0.0",,"0.0","0.407","0.407"
"pp","4565.A0A077RA92 (pp) 4565.A0A077S280","false","pp","4565.A0A077RA92 (pp) 4565.A0A077S280","0.0","0.415","0.0","0.0","0.0",,"0.0","0.415","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6PSE1","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6PSE1","0.303","0.2","0.0","0.0","0.0",,"0.0","0.418","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6LIA2","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6LIA2","0.34","0.0","0.0","0.072","0.0",,"0.0","0.424","0.136"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6SHA9","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6SHA9","0.086","0.261","0.0","0.218","0.0",,"0.0","0.425","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6U6R8","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6U6R8","0.0","0.428","0.0","0.0","0.0",,"0.0","0.428","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B5ZYH2","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B5ZYH2","0.0","0.43","0.0","0.0","0.0",,"0.0","0.43","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6SHE8","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6SHE8","0.126","0.0","0.0","0.234","0.0",,"0.0","0.43","0.217"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6PNC5","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6PNC5","0.0","0.208","0.0","0.0","0.0",,"0.0","0.451","0.336"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B5Z5D2","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B5Z5D2","0.109","0.415","0.0","0.0","0.0",,"0.0","0.456","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6LQ42","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6LQ42","0.331","0.0","0.0","0.151","0.0",,"0.0","0.458","0.124"
"pp","4565.A0A077RA92 (pp) 4565.A0A077RWE7","false","pp","4565.A0A077RA92 (pp) 4565.A0A077RWE7","0.0","0.219","0.0","0.0","0.0",,"0.0","0.459","0.336"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6IN23","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6IN23","0.121","0.413","0.0","0.0","0.0",,"0.0","0.461","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A2X0S8S0","false","pp","4565.A0A077RA92 (pp) 4565.A0A2X0S8S0","0.0","0.0","0.0","0.0","0.0",,"0.0","0.463","0.463"
"pp","4565.A0A077RA92 (pp) 4565.W5CQ51","false","pp","4565.A0A077RA92 (pp) 4565.W5CQ51","0.121","0.0","0.186","0.0","0.0",,"0.0","0.471","0.321"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6GLM7","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6GLM7","0.121","0.0","0.186","0.0","0.0",,"0.0","0.471","0.321"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6INS2","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6INS2","0.062","0.467","0.0","0.0","0.0",,"0.0","0.478","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B5ZWM8","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B5ZWM8","0.0","0.483","0.0","0.0","0.0",,"0.0","0.483","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B5ZMB6","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B5ZMB6","0.0","0.468","0.0","0.078","0.0",,"0.0","0.488","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B5YX07","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B5YX07","0.251","0.351","0.0","0.0","0.0",,"0.0","0.493","0.0"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6SBV3","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6SBV3","0.126","0.0","0.182","0.212","0.0",,"0.0","0.508","0.23"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6PHZ8","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6PHZ8","0.126","0.0","0.182","0.212","0.0",,"0.0","0.508","0.23"
"pp","4565.A0A077RA92 (pp) 4565.A0A3B6QLH5","false","pp","4565.A0A077RA92 (pp) 4565.A0A3B6QLH5","0.34","0.304","0.0","0.0","0.0",,"0.0","0.521","0.0"
