"gene_id","PN","PS","DN","DS","length","pathway_name","source"
"EVM0000024",11,22,1,12,2055,"Biosynthesis of secondary metabolites","KEGG"
"EVM0000024",11,22,1,12,2055,"Fatty acid degradation","KEGG"
"EVM0000024",11,22,1,12,2055,"Fatty acid metabolism","KEGG"
"EVM0000024",11,22,1,12,2055,"Metabolic pathways","KEGG"
"EVM0000024",11,22,1,12,2055,"alpha-Linolenic acid metabolism","KEGG"
"EVM0000032",8,47,1,14,1330,"2-Oxocarboxylic acid metabolism","KEGG"
"EVM0000032",8,47,1,14,1330,"Amino acid catabolism","Reactome"
"EVM0000032",8,47,1,14,1330,"Amino acid metabolism","Reactome"
"EVM0000032",8,47,1,14,1330,"Biosynthesis of secondary metabolites","KEGG"
"EVM0000032",8,47,1,14,1330,"Carbon metabolism","KEGG"
"EVM0000032",8,47,1,14,1330,"Citrate cycle","KEGG"
"EVM0000032",8,47,1,14,1330,"Generation of precursor metabolites and energy","Reactome"
"EVM0000032",8,47,1,14,1330,"Lipoic acid metabolism","KEGG"
"EVM0000032",8,47,1,14,1330,"Lysine degradation","KEGG"
"EVM0000032",8,47,1,14,1330,"Lysine degradation II","Reactome"
"EVM0000032",8,47,1,14,1330,"Metabolic pathways","KEGG"
"EVM0000032",8,47,1,14,1330,"Metabolism and regulation","Reactome"
"EVM0000032",8,47,1,14,1330,"TCA cycle (plant)","Reactome"
"EVM0000032",8,47,1,14,1330,"Tryptophan metabolism","KEGG"
"EVM0000034",2,15,1,2,1905,"Circadian rhythm - plant","KEGG"
"EVM0000044",4,25,0,12,1163,"Biosynthesis of secondary metabolites","KEGG"
"EVM0000044",4,25,0,12,1163,"Chlorophyll a biosynthesis II","Reactome"
"EVM0000044",4,25,0,12,1163,"Cofactor biosyntheses","Reactome"
"EVM0000044",4,25,0,12,1163,"Metabolic pathways","KEGG"
"EVM0000044",4,25,0,12,1163,"Metabolism and regulation","Reactome"
"EVM0000044",4,25,0,12,1163,"Phytyl-PP biosynthesis","Reactome"
"EVM0000044",4,25,0,12,1163,"Porphyrin metabolism","KEGG"
"EVM0000044",4,25,0,12,1163,"Secondary metabolism","Reactome"
"EVM0000044",4,25,0,12,1163,"Terpenoid backbone biosynthesis","KEGG"
"EVM0000117",8,32,25,46,2506,"Biosynthesis of secondary metabolites","KEGG"
"EVM0000117",8,32,25,46,2506,"Carbohydrate metabolism","Reactome"
"EVM0000117",8,32,25,46,2506,"Gravitropism under normal or artificial gravity environments","Reactome"
"EVM0000117",8,32,25,46,2506,"Growth and developmental processes","Reactome"
"EVM0000117",8,32,25,46,2506,"Metabolic pathways","KEGG"
"EVM0000117",8,32,25,46,2506,"Metabolism and regulation","Reactome"
"EVM0000117",8,32,25,46,2506,"Regulatory network of nutrient accumulation","Reactome"
"EVM0000117",8,32,25,46,2506,"Reproductive structure development","Reactome"
"EVM0000117",8,32,25,46,2506,"Responses to stimuli: abiotic stimuli and stresses","Reactome"
"EVM0000117",8,32,25,46,2506,"Root gravitropism","Reactome"
"EVM0000117",8,32,25,46,2506,"Seed development","Reactome"
"EVM0000117",8,32,25,46,2506,"Starch and sucrose metabolism","KEGG"
"EVM0000117",8,32,25,46,2506,"Starch biosynthesis","Reactome"
"EVM0000127",0,9,0,3,933,"RNA degradation","KEGG"
"EVM0000197",3,25,5,21,1492,"Carbon fixation by Calvin cycle","KEGG"
"EVM0000197",3,25,5,21,1492,"Carbon metabolism","KEGG"
"EVM0000197",3,25,5,21,1492,"Metabolic pathways","KEGG"
"EVM0000197",3,25,5,21,1492,"Pyruvate metabolism","KEGG"
"EVM0000237",3,58,1,12,750,"Metabolic pathways","KEGG"
"EVM0000237",3,58,1,12,750,"Photosynthesis - antenna proteins","KEGG"
"EVM0000250",0,26,0,13,1910,"Endocytosis","KEGG"
"EVM0000250",0,26,0,13,1910,"Protein processing in endoplasmic reticulum","KEGG"
"EVM0000250",0,26,0,13,1910,"Spliceosome","KEGG"
"EVM0000307",7,23,0,3,1287,"Gravitropism under normal or artificial gravity environments","Reactome"
"EVM0000307",7,23,0,3,1287,"Regulation of seed germination and coleoptile growth under submergence and normal gravity environment","Reactome"
"EVM0000307",7,23,0,3,1287,"Responses to stimuli: abiotic stimuli and stresses","Reactome"
"EVM0000400",0,5,0,0,975,"Biosynthesis of secondary metabolites","KEGG"
"EVM0000400",0,5,0,0,975,"Carbon fixation by Calvin cycle","KEGG"
"EVM0000400",0,5,0,0,975,"Carbon metabolism","KEGG"
"EVM0000400",0,5,0,0,975,"Citrate cycle","KEGG"
"EVM0000400",0,5,0,0,975,"Cysteine and methionine metabolism","KEGG"
"EVM0000400",0,5,0,0,975,"Glyoxylate and dicarboxylate metabolism","KEGG"
"EVM0000400",0,5,0,0,975,"Metabolic pathways","KEGG"
"EVM0000400",0,5,0,0,975,"Pyruvate metabolism","KEGG"
"EVM0000400",0,5,0,0,975,"Sulfoquinovose metabolism","KEGG"
"EVM0000473",9,29,1,7,881,"Fatty acid and lipid metabolism","Reactome"
"EVM0000473",9,29,1,7,881,"Metabolic pathways","KEGG"
"EVM0000473",9,29,1,7,881,"Metabolism and regulation","Reactome"
"EVM0000473",9,29,1,7,881,"Sphingolipid metabolism","KEGG;Reactome"
"EVM0000582",0,3,0,5,425,"Metabolic pathways","KEGG"
"EVM0000582",0,3,0,5,425,"Photosynthesis","KEGG"
"EVM0000606",0,11,0,3,1321,"Cornified envelope formation","KEGG"
"EVM0000606",0,11,0,3,1321,"mRNA surveillance pathway","KEGG"
"EVM0000615",0,4,0,2,549,"Proteasome","KEGG"
"EVM0000824",0,5,0,3,909,"Amino acid biosynthesis","Reactome"
"EVM0000824",0,5,0,3,909,"Amino acid metabolism","Reactome"
"EVM0000824",0,5,0,3,909,"Biosynthesis of amino acids","KEGG"
