"gene_id","PN","PS","DN","DS","length","pathway_name","source"
"Ammut_EIv1.0_0003110",0,42,0,10,1033,"Motor proteins","KEGG"
"Ammut_EIv1.0_0004070",9,45,7,15,1120,"Biosynthesis of secondary metabolites","KEGG"
"Ammut_EIv1.0_0004070",9,45,7,15,1120,"Cardiolipin biosynthesis","Reactome"
"Ammut_EIv1.0_0004070",9,45,7,15,1120,"Fatty acid and lipid metabolism","Reactome"
"Ammut_EIv1.0_0004070",9,45,7,15,1120,"Glycerophospholipid metabolism","KEGG"
"Ammut_EIv1.0_0004070",9,45,7,15,1120,"Metabolic pathways","KEGG"
"Ammut_EIv1.0_0004070",9,45,7,15,1120,"Metabolism and regulation","Reactome"
"Ammut_EIv1.0_0004070",9,45,7,15,1120,"Phosphatidylinositol signaling system","KEGG"
"Ammut_EIv1.0_0004070",9,45,7,15,1120,"Phospholipid biosynthesis I","Reactome"
"Ammut_EIv1.0_0008220",9,48,3,7,1616,"Basal transcription factors","KEGG"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Amino sugar and nucleotide sugar metabolism","KEGG"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Ascorbate biosynthesis","Reactome"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Biosynthesis of nucleotide sugars","KEGG"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Biosynthesis of secondary metabolites","KEGG"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Carbohydrate metabolism","Reactome"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Carbon metabolism","KEGG"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Cofactor biosyntheses","Reactome"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Cytosolic glycolysis","Reactome"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Glycolysis / Gluconeogenesis","KEGG"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Metabolic pathways","KEGG"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Metabolism and regulation","Reactome"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Pentose phosphate pathway","KEGG"
"Ammut_EIv1.0_0013120",3,64,3,14,1666,"Starch and sucrose metabolism","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Amino sugar and nucleotide sugar metabolism","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Glycosaminoglycan degradation","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Glycosphingolipid biosynthesis - ganglio series","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Glycosphingolipid biosynthesis - globo and isoglobo series","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Lysosome biogenesis","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Metabolic pathways","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Other glycan degradation","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Sphingolipid metabolism","KEGG"
"Ammut_EIv1.0_0015440",1,41,2,7,1305,"Various types of N-glycan biosynthesis","KEGG"
"Ammut_EIv1.0_0017990",16,44,12,27,3674,"ATP-dependent chromatin remodeling","KEGG"
"Ammut_EIv1.0_0018000",11,79,4,25,3151,"Motor proteins","KEGG"
"Ammut_EIv1.0_0022590",64,23,15,7,1613,"Fanconi anemia pathway","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"2-Oxocarboxylic acid metabolism","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Biosynthesis of cofactors","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Biosynthesis of secondary metabolites","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Carbon metabolism","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Citrate cycle","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Generation of precursor metabolites and energy","Reactome"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Glycine, serine and threonine metabolism","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Glycolysis / Gluconeogenesis","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Glyoxylate and dicarboxylate metabolism","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Lipoic acid metabolism","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Lysine degradation","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Metabolic pathways","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Metabolism and regulation","Reactome"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Mitochondrial pyruvate metabolism","Reactome"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"One carbon pool by folate","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Photorespiration","Reactome"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Propanoate metabolism","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Pyruvate metabolism","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"TCA cycle (plant)","Reactome"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Tryptophan metabolism","KEGG"
"Ammut_EIv1.0_0023570",7,42,1,18,1326,"Valine, leucine and isoleucine degradation","KEGG"
"Ammut_EIv1.0_0027870",2,12,4,11,916,"Biosynthesis of secondary metabolites","KEGG"
"Ammut_EIv1.0_0027870",2,12,4,11,916,"Metabolic pathways","KEGG"
"Ammut_EIv1.0_0027870",2,12,4,11,916,"Phenylpropanoid biosynthesis","KEGG"
"Ammut_EIv1.0_0028020",12,43,7,23,1014,"Biosynthesis of secondary metabolites","KEGG"
"Ammut_EIv1.0_0028020",12,43,7,23,1014,"Metabolic pathways","KEGG"
