"gene_id","PN","PS","DN","DS","length","pathway_name","source"
"TuG1812G0100000453.01",0,4,0,0,1029,"Nucleocytoplasmic transport","KEGG"
"TuG1812G0100000499.01",2,2,0,1,617,"Metabolism and regulation","Reactome"
"TuG1812G0100000499.01",2,2,0,1,617,"Pinobanksin biosynthesis","Reactome"
"TuG1812G0100000499.01",2,2,0,1,617,"Secondary metabolism","Reactome"
"TuG1812G0100000577.01",0,2,0,3,1701,"Amino sugar and nucleotide sugar metabolism","KEGG"
"TuG1812G0100000577.01",0,2,0,3,1701,"Ascorbate biosynthesis","Reactome"
"TuG1812G0100000577.01",0,2,0,3,1701,"Biosynthesis of nucleotide sugars","KEGG"
"TuG1812G0100000577.01",0,2,0,3,1701,"Biosynthesis of secondary metabolites","KEGG"
"TuG1812G0100000577.01",0,2,0,3,1701,"Carbohydrate metabolism","Reactome"
"TuG1812G0100000577.01",0,2,0,3,1701,"Carbon metabolism","KEGG"
"TuG1812G0100000577.01",0,2,0,3,1701,"Cofactor biosyntheses","Reactome"
"TuG1812G0100000577.01",0,2,0,3,1701,"Cytosolic glycolysis","Reactome"
"TuG1812G0100000577.01",0,2,0,3,1701,"Glycolysis / Gluconeogenesis","KEGG"
"TuG1812G0100000577.01",0,2,0,3,1701,"Metabolic pathways","KEGG"
"TuG1812G0100000577.01",0,2,0,3,1701,"Metabolism and regulation","Reactome"
"TuG1812G0100000577.01",0,2,0,3,1701,"Pentose phosphate pathway","KEGG"
"TuG1812G0100000577.01",0,2,0,3,1701,"Starch and sucrose metabolism","KEGG"
"TuG1812G0100000597.01",0,6,0,1,912,"Nucleocytoplasmic transport","KEGG"
"TuG1812G0100000597.01",0,6,0,1,912,"Protein processing in endoplasmic reticulum","KEGG"
"TuG1812G0100000650.01",1,4,1,2,999,"Spliceosome","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"2-Oxocarboxylic acid metabolism","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Biosynthesis of cofactors","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Biosynthesis of secondary metabolites","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Carbon metabolism","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Citrate cycle","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Generation of precursor metabolites and energy","Reactome"
"TuG1812G0100000821.01",0,2,0,4,1326,"Glycine, serine and threonine metabolism","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Glycolysis / Gluconeogenesis","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Glyoxylate and dicarboxylate metabolism","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Lipoic acid metabolism","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Lysine degradation","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Metabolic pathways","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Metabolism and regulation","Reactome"
"TuG1812G0100000821.01",0,2,0,4,1326,"Mitochondrial pyruvate metabolism","Reactome"
"TuG1812G0100000821.01",0,2,0,4,1326,"One carbon pool by folate","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Photorespiration","Reactome"
"TuG1812G0100000821.01",0,2,0,4,1326,"Propanoate metabolism","KEGG"
"TuG1812G0100000821.01",0,2,0,4,1326,"Pyruvate metabolism","KEGG"
