"gene_id","PN","PS","DN","DS","length","pathway_name","source"
"AET0Gv20006200",0,8,2,7,1843,"Ethylene biosynthesis and signaling","Reactome"
"AET0Gv20006200",0,8,2,7,1843,"Ethylene mediated signaling","Reactome"
"AET0Gv20006200",0,8,2,7,1843,"Hormone signaling, transport, and metabolism","Reactome"
"AET0Gv20006200",0,8,2,7,1843,"MAPK signaling pathway - plant","KEGG"
"AET0Gv20006200",0,8,2,7,1843,"Metabolism and regulation","Reactome"
"AET0Gv20006200",0,8,2,7,1843,"Plant hormone signal transduction","KEGG"
"AET0Gv20120700",3,1,2,8,2731,"Other glycan degradation","KEGG"
"AET1Gv20011500",0,4,0,0,624,"Endocytosis","KEGG"
"AET1Gv20032100",14,53,8,51,3000,"Amino acid metabolism","Reactome"
"AET1Gv20032100",14,53,8,51,3000,"Metabolic pathways","KEGG"
"AET1Gv20032100",14,53,8,51,3000,"Metabolism and regulation","Reactome"
"AET1Gv20032100",14,53,8,51,3000,"S-methylmethionine cycle","Reactome"
"AET1Gv20032100",14,53,8,51,3000,"Selenocompound metabolism","KEGG"
"AET1Gv20124500",7,6,6,9,3057,"Nucleocytoplasmic transport","KEGG"
"AET1Gv20134600",0,3,2,18,3065,"Motor proteins","KEGG"
"AET1Gv20155400",35,18,3,1,1685,"Fanconi anemia pathway","KEGG"
"AET1Gv20197800",1,3,1,10,1086,"Plant-pathogen interaction","KEGG"
"AET1Gv20201100",1,2,11,15,980,"Biosynthesis of secondary metabolites","KEGG"
"AET1Gv20201100",1,2,11,15,980,"Glycerolipid metabolism","KEGG"
"AET1Gv20201100",1,2,11,15,980,"Metabolic pathways","KEGG"
"AET1Gv20222600",12,2,13,17,1359,"Cytoskeleton in muscle cells","KEGG"
"AET1Gv20241700",0,5,0,9,1323,"Cornified envelope formation","KEGG"
"AET1Gv20241700",0,5,0,9,1323,"mRNA surveillance pathway","KEGG"
"AET1Gv20244800",2,17,1,5,1358,"Auxin signalling","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Growth and developmental processes","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Hormone signaling, transport, and metabolism","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Lateral root development","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Lateral root initiation","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Metabolism and regulation","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Plant hormone signal transduction","KEGG"
"AET1Gv20244800",2,17,1,5,1358,"Regulation of seed size","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Reproductive meristem phase change","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Reproductive structure development","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Root structure development","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Seed development","Reactome"
"AET1Gv20244800",2,17,1,5,1358,"Vegetative structure development","Reactome"
"AET1Gv20250300",0,1,0,1,849,"Cadherin signaling","KEGG"
"AET1Gv20250300",0,1,0,1,849,"mRNA surveillance pathway","KEGG"
"AET1Gv20252300",0,3,1,6,564,"Ribosome","KEGG"
"AET1Gv20252500",0,3,0,4,1901,"MAPK signaling pathway - plant","KEGG"
"AET1Gv20252500",0,3,0,4,1901,"Plant hormone signal transduction","KEGG"
"AET1Gv20263400",0,2,0,11,1016,"Protein processing in endoplasmic reticulum","KEGG"
"AET1Gv20263700",0,3,0,1,1407,"Motor proteins","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"2-Oxocarboxylic acid metabolism","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Biosynthesis of cofactors","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Biosynthesis of secondary metabolites","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Carbon metabolism","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Citrate cycle","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Glycine, serine and threonine metabolism","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Glycolysis / Gluconeogenesis","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Glyoxylate and dicarboxylate metabolism","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Lipoic acid metabolism","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Lysine degradation","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"Metabolic pathways","KEGG"
"AET1Gv20268300",1,3,0,7,1351,"One carbon pool by folate","KEGG"
